"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 12, 2012","14th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Pune Warriors","115","Kings XI Punjab","116/3","Kings XI Punjab","7 wickets (with 14 balls remaining)"
"Apr 13, 2012","15th match","Eden Gardens, Kolkata","night","Rajasthan Royals","bat","Rajasthan Royals","131/5","Kolkata Knight Riders","137/5","Kolkata Knight Riders","5 wickets (with 4 balls remaining)"
"Apr 14, 2012","16th match","Subrata Roy Sahara Stadium, Pune","night","Chennai Super Kings","bat","Chennai Super Kings","155/5","Pune Warriors","156/3","Pune Warriors","7 wickets (with 4 balls remaining)"
"Apr 15, 2012","17th match","Eden Gardens, Kolkata","day/night","Kolkata Knight Riders","field","Kings XI Punjab","134/9","Kolkata Knight Riders","132/7","Kings XI Punjab","2 runs"
"Apr 15, 2012","18th match","M Chinnaswamy Stadium, Bangalore","night","Rajasthan Royals","bat","Rajasthan Royals","195/2","RCB","136","Rajasthan Royals","59 runs"
"Apr 16, 2012","19th match","Wankhede Stadium, Mumbai","night","Delhi Daredevils","field","Mumbai Indians","92","Delhi Daredevils","93/3","Delhi Daredevils","7 wickets (with 31 balls remaining)"
"Apr 17, 2012","20th match","Sawai Mansingh Stadium, Jaipur","day/night","Deccan Chargers","bat","Deccan Chargers","196/2","Rajasthan Royals","197/5","Rajasthan Royals","5 wickets (with 2 balls remaining)"
"Apr 17, 2012","21st match","M Chinnaswamy Stadium, Bangalore","night","Pune Warriors","bat","Pune Warriors","182/6","RCB","186/4","Royal Challengers Bangalore","6 wickets (with 0 balls remaining)"
"Apr 18, 2012","22nd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","bat","Kings XI Punjab","124/7","Kolkata Knight Riders","127/2","Kolkata Knight Riders","8 wickets (with 21 balls remaining)"
"Apr 19, 2012","23rd match","Feroz Shah Kotla, Delhi","day/night","Deccan Chargers","bat","Deccan Chargers","157/8","Delhi Daredevils","162/5","Delhi Daredevils","5 wickets (with 5 balls remaining)"
