"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 29, 2013","40th match","Sawai Mansingh Stadium, Jaipur","day/night","Rajasthan Royals","field","RCB","171/6","Rajasthan Royals","173/6","Rajasthan Royals","4 wickets (with 1 ball remaining)"
"Apr 29, 2013","41st match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","174/3","Kings XI Punjab","170","Mumbai Indians","4 runs"
"Apr 30, 2013","42nd match","Subrata Roy Sahara Stadium, Pune","night","Chennai Super Kings","bat","Chennai Super Kings","164/3","Pune Warriors","127/9","Chennai Super Kings","37 runs"
"May 1, 2013","43rd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Mumbai Indians","bat","Mumbai Indians","129/4","Sunrisers Hyderabad","130/3","Sunrisers Hyderabad","7 wickets (with 12 balls remaining)"
"May 1, 2013","44th match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","136/7","Delhi Daredevils","137/3","Delhi Daredevils","7 wickets (with 13 balls remaining)"
"May 2, 2013","45th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Chennai Super Kings","bat","Chennai Super Kings","186/4","Kings XI Punjab","171/6","Chennai Super Kings","15 runs"
"May 2, 2013","46th match","Subrata Roy Sahara Stadium, Pune","night","Royal Challengers Bangalore","bat","RCB","187/3","Pune Warriors","170/9","Royal Challengers Bangalore","17 runs"
"May 3, 2013","47th match","Eden Gardens, Kolkata","night","Rajasthan Royals","bat","Rajasthan Royals","132/6","Kolkata Knight Riders","133/2","Kolkata Knight Riders","8 wickets (with 16 balls remaining)"
"May 4, 2013","48th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Delhi Daredevils","bat","Delhi Daredevils","80","Sunrisers Hyderabad","81/4","Sunrisers Hyderabad","6 wickets (with 37 balls remaining)"
"May 5, 2013","49th match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","bat","Mumbai Indians","139/5","Chennai Super Kings","79","Mumbai Indians","60 runs"
"May 5, 2013","50th match","Sawai Mansingh Stadium, Jaipur","night","Pune Warriors","bat","Pune Warriors","178/4","Rajasthan Royals","182/5","Rajasthan Royals","5 wickets (with 1 ball remaining)"
"May 6, 2013","51st match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","RCB","190/3","Kings XI Punjab","194/4","Kings XI Punjab","6 wickets (with 12 balls remaining)"
"May 7, 2013","52nd match","Sawai Mansingh Stadium, Jaipur","day/night","Delhi Daredevils","bat","Delhi Daredevils","154/4","Rajasthan Royals","155/1","Rajasthan Royals","9 wickets (with 13 balls remaining)"
"May 7, 2013","53rd match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","170/6","Kolkata Knight Riders","105","Mumbai Indians","65 runs"
"May 8, 2013","54th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","field","Chennai Super Kings","223/3","Sunrisers Hyderabad","146/8","Chennai Super Kings","77 runs"
"May 9, 2013","55th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Rajasthan Royals","field","Kings XI Punjab","145/6","Rajasthan Royals","147/2","Rajasthan Royals","8 wickets (with 6 balls remaining)"
"May 9, 2013","56th match","Subrata Roy Sahara Stadium, Pune","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","152/6","Pune Warriors","106","Kolkata Knight Riders","46 runs"
"May 10, 2013","57th match","Feroz Shah Kotla, Delhi","night","Delhi Daredevils","field","RCB","183/4","Delhi Daredevils","179/7","Royal Challengers Bangalore","4 runs"
"May 11, 2013","58th match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","bat","Pune Warriors","112/8","Mumbai Indians","116/5","Mumbai Indians","5 wickets (with 7 balls remaining)"
"May 11, 2013","59th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Sunrisers Hyderabad","150/7","Kings XI Punjab","120/9","Sunrisers Hyderabad","30 runs"
"May 12, 2013","60th match","JSCA International Stadium Complex, Ranchi","day/night","Kolkata Knight Riders","field","RCB","115/9","Kolkata Knight Riders","116/5","Kolkata Knight Riders","5 wickets (with 4 balls remaining)"
"May 12, 2013","61st match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","field","Chennai Super Kings","141/4","Rajasthan Royals","144/5","Rajasthan Royals","5 wickets (with 17 balls remaining)"
"May 13, 2013","62nd match","Wankhede Stadium, Mumbai","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","178/3","Mumbai Indians","184/3","Mumbai Indians","7 wickets (with 3 balls remaining)"
"May 14, 2013","63rd match","M Chinnaswamy Stadium, Bangalore","day/night","Kings XI Punjab","field","RCB","174/5","Kings XI Punjab","176/3","Kings XI Punjab","7 wickets (with 11 balls remaining)"
"May 14, 2013","64th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","168/4","Delhi Daredevils","135/9","Chennai Super Kings","33 runs"
"May 15, 2013","65th match","JSCA International Stadium Complex, Ranchi","day/night","Kolkata Knight Riders","field","Pune Warriors","170/4","Kolkata Knight Riders","163/7","Pune Warriors","7 runs"
"May 15, 2013","66th match","Wankhede Stadium, Mumbai","night","Rajasthan Royals","field","Mumbai Indians","166/8","Rajasthan Royals","152/7","Mumbai Indians","14 runs"
"May 16, 2013","67th match","Himachal Pradesh Cricket Association Stadium, Dharamsala","night","Delhi Daredevils","field","Kings XI Punjab","171/4","Delhi Daredevils","164/7","Kings XI Punjab","7 runs"
"May 17, 2013","68th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","136/9","Rajasthan Royals","113/9","Sunrisers Hyderabad","23 runs"
"May 18, 2013","69th match","Himachal Pradesh Cricket Association Stadium, Dharamsala","day/night","Mumbai Indians","field","Kings XI Punjab","183/8","Mumbai Indians","133","Kings XI Punjab","50 runs"
"May 18, 2013","70th match","M Chinnaswamy Stadium, Bangalore","night","Chennai Super Kings","field","RCB","106/2","Chennai Super Kings","82/6","Royal Challengers Bangalore","24 runs"
"May 19, 2013","71st match","Subrata Roy Sahara Stadium, Pune","day/night","Pune Warriors","bat","Pune Warriors","172/5","Delhi Daredevils","134/9","Pune Warriors","38 runs"
"May 19, 2013","72nd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","130/7","Sunrisers Hyderabad","132/5","Sunrisers Hyderabad","5 wickets (with 7 balls remaining)"
"May 21, 2013","Qualifier 1","Feroz Shah Kotla, Delhi","night","Chennai Super Kings","bat","Chennai Super Kings","192/1","Mumbai Indians","144","Chennai Super Kings","48 runs"
"May 22, 2013","Eliminator","Feroz Shah Kotla, Delhi","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","132/7","Rajasthan Royals","135/6","Rajasthan Royals","4 wickets (with 4 balls remaining)"
"May 24, 2013","Qualifier 2","Eden Gardens, Kolkata","night","Rajasthan Royals","bat","Rajasthan Royals","165/6","Mumbai Indians","169/6","Mumbai Indians","4 wickets (with 1 ball remaining)"
"May 26, 2013","Final","Eden Gardens, Kolkata","night","Mumbai Indians","bat","Mumbai Indians","148/9","Chennai Super Kings","125/9","Mumbai Indians","23 runs"
"Apr 16, 2014","1st match","Sheikh Zayed Stadium, Abu Dhabi","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","163/5","Mumbai Indians","122/7","Kolkata Knight Riders","41 runs"
"Apr 17, 2014","2nd match","Sharjah Cricket Stadium","night","Royal Challengers Bangalore","field","Delhi Daredevils","145/4","RCB","146/2","Royal Challengers Bangalore","8 wickets"
"Apr 18, 2014","3rd match","Sheikh Zayed Stadium, Abu Dhabi"," ","Chennai Super Kings","bat","Chennai Super Kings","205/4","Kings XI Punjab","206/4","Kings XI Punjab","6 wickets"
"Apr 18, 2014","4th match","Sheikh Zayed Stadium, Abu Dhabi","night","Rajasthan Royals","field","Sunrisers Hyderabad","133/6","Rajasthan Royals","135/6","Rajasthan Royals","4 wickets"
"Apr 19, 2014","5th match","Dubai International Cricket Stadium"," ","Royal Challengers Bangalore","field","Mumbai Indians","115/9","RCB","116/3","Royal Challengers Bangalore","7 wickets"
"Apr 19, 2014","6th match","Dubai International Cricket Stadium","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","166/5","Delhi Daredevils","167/6","Delhi Daredevils","4 wickets"
"Apr 20, 2014","7th match","Sharjah Cricket Stadium","night","Kings XI Punjab","field","Rajasthan Royals","191/5","Kings XI Punjab","193/3","Kings XI Punjab","7 wickets"
"Apr 21, 2014","8th match","Sheikh Zayed Stadium, Abu Dhabi","night","Chennai Super Kings","bat","Chennai Super Kings","177/7","Delhi Daredevils","84","Chennai Super Kings","93 runs"
"Apr 22, 2014","9th match","Sharjah Cricket Stadium","night","Sunrisers Hyderabad","field","Kings XI Punjab","193/6","Sunrisers Hyderabad","121","Kings XI Punjab","72 runs"
"Apr 23, 2014","10th match","Dubai International Cricket Stadium","night","Rajasthan Royals","field","Chennai Super Kings","140/6","Rajasthan Royals","133","Chennai Super Kings","7 runs"
"Apr 24, 2014","11th match","Sharjah Cricket Stadium","night","Royal Challengers Bangalore","field","Kolkata Knight Riders","150/7","RCB","148/5","Kolkata Knight Riders","2 runs"
"Apr 25, 2014","12th match","Dubai International Cricket Stadium"," ","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","184/1","Delhi Daredevils","180/4","Sunrisers Hyderabad","4 runs"
"Apr 25, 2014","13th match","Dubai International Cricket Stadium","night","Mumbai Indians","bat","Mumbai Indians","141/7","Chennai Super Kings","142/3","Chennai Super Kings","7 wickets"
"Apr 26, 2014","14th match","Sheikh Zayed Stadium, Abu Dhabi"," ","Rajasthan Royals","field","RCB","70","Rajasthan Royals","71/4","Rajasthan Royals","6 wickets"
"Apr 26, 2014","15th match","Sheikh Zayed Stadium, Abu Dhabi","night","Kolkata Knight Riders","field","Kings XI Punjab","132/9","Kolkata Knight Riders","109","Kings XI Punjab","23 runs"
"Apr 27, 2014","16th match","Sharjah Cricket Stadium"," ","Mumbai Indians","bat","Mumbai Indians","125/6","Delhi Daredevils","126/4","Delhi Daredevils","6 wickets"
"Apr 27, 2014","17th match","Sharjah Cricket Stadium","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","145/5","Chennai Super Kings","146/5","Chennai Super Kings","5 wickets"
"Apr 28, 2014","18th match","Dubai International Cricket Stadium","night","Kings XI Punjab","field","RCB","124/8","Kings XI Punjab","127/5","Kings XI Punjab","5 wickets"
"Apr 29, 2014","19th match","Sheikh Zayed Stadium, Abu Dhabi","night","Rajasthan Royals","bat","Rajasthan Royals","152/5","Kolkata Knight Riders","152/8","Match tied (Rajasthan Royals",""
"Apr 30, 2014","20th match","Dubai International Cricket Stadium","night","Mumbai Indians","field","Sunrisers Hyderabad","172/5","Mumbai Indians","157/7","Sunrisers Hyderabad","15 runs"
"May 2, 2014","21st match","JSCA International Stadium Complex, Ranchi","night","Chennai Super Kings","bat","Chennai Super Kings","148/3","Kolkata Knight Riders","114/9","Chennai Super Kings","34 runs"
"May 3, 2014","22nd match","Wankhede Stadium, Mumbai","day/night","Kings XI Punjab","bat","Kings XI Punjab","168/5","Mumbai Indians","170/5","Mumbai Indians","5 wickets"
"May 3, 2014","23rd match","Feroz Shah Kotla, Delhi","night","Rajasthan Royals","field","Delhi Daredevils","152/5","Rajasthan Royals","156/3","Rajasthan Royals","7 wickets"
"May 4, 2014","24th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Sunrisers Hyderabad","155/6","RCB","158/6","Royal Challengers Bangalore","4 wickets"
"May 5, 2014","25th match","Sardar Patel Stadium, Motera, Ahmedabad","day/night","Kolkata Knight Riders","field","Rajasthan Royals","170/6","Kolkata Knight Riders","160/6","Rajasthan Royals","10 runs"
"May 5, 2014","26th match","Feroz Shah Kotla, Delhi","night","Chennai Super Kings","field","Delhi Daredevils","178/5","Chennai Super Kings","181/2","Chennai Super Kings","8 wickets"
"May 6, 2014","27th match","Wankhede Stadium, Mumbai","night","Royal Challengers Bangalore","field","Mumbai Indians","187/5","RCB","168/8","Mumbai Indians","19 runs"
"May 7, 2014","28th match","Feroz Shah Kotla, Delhi","day/night","Delhi Daredevils","bat","Delhi Daredevils","160/5","Kolkata Knight Riders","161/2","Kolkata Knight Riders","8 wickets"
"May 7, 2014","29th match","Barabati Stadium, Cuttack","night","Chennai Super Kings","field","Kings XI Punjab","231/4","Chennai Super Kings","187/6","Kings XI Punjab","44 runs"
"May 8, 2014","30th match","Sardar Patel Stadium, Motera, Ahmedabad","night","Rajasthan Royals","field","Sunrisers Hyderabad","134/9","Rajasthan Royals","102","Sunrisers Hyderabad","32 runs"
"May 9, 2014","31st match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Kings XI Punjab","198/8","RCB","166/9","Kings XI Punjab","32 runs"
"May 10, 2014","32nd match","Feroz Shah Kotla, Delhi","day/night","Sunrisers Hyderabad","field","Delhi Daredevils","143/7","Sunrisers Hyderabad","44/2","Sunrisers Hyderabad","8 wickets (D/L method)"
"May 10, 2014","33rd match","Wankhede Stadium, Mumbai","night","Chennai Super Kings","field","Mumbai Indians","157/6","Chennai Super Kings","160/6","Chennai Super Kings","4 wickets"
"May 11, 2014","34th match","Barabati Stadium, Cuttack","day/night","Kolkata Knight Riders","field","Kings XI Punjab","149/8","Kolkata Knight Riders","150/1","Kolkata Knight Riders","9 wickets"
"May 11, 2014","35th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","bat","RCB","190/5","Rajasthan Royals","191/5","Rajasthan Royals","5 wickets"
"May 12, 2014","36th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","157/3","Mumbai Indians","160/3","Mumbai Indians","7 wickets"
"May 13, 2014","37th match","JSCA International Stadium Complex, Ranchi","day/night","Rajasthan Royals","bat","Rajasthan Royals","148/8","Chennai Super Kings","149/5","Chennai Super Kings","5 wickets"
"May 13, 2014","38th match","M Chinnaswamy Stadium, Bangalore","night","Delhi Daredevils","field","RCB","186/4","Delhi Daredevils","170/7","Royal Challengers Bangalore","16 runs"
"May 14, 2014","39th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Kings XI Punjab","field","Sunrisers Hyderabad","205/5","Kings XI Punjab","211/4","Kings XI Punjab","6 wickets"
"May 14, 2014","40th match","Barabati Stadium, Cuttack","night","Kolkata Knight Riders","field","Mumbai Indians","141/5","Kolkata Knight Riders","142/4","Kolkata Knight Riders","6 wickets"
"May 15, 2014","41st match","Sardar Patel Stadium, Motera, Ahmedabad","night","Delhi Daredevils","field","Rajasthan Royals","201/6","Delhi Daredevils","139/9","Rajasthan Royals","62 runs"
"May 18, 2014","42nd match","JSCA International Stadium Complex, Ranchi","day/night","Chennai Super Kings","bat","Chennai Super Kings","138/4","RCB","142/5","Royal Challengers Bangalore","5 wickets"
"May 18, 2014","43rd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","142/8","Kolkata Knight Riders","146/3","Kolkata Knight Riders","7 wickets"
"May 19, 2014","44th match","Sardar Patel Stadium, Motera, Ahmedabad","day/night","Mumbai Indians","bat","Mumbai Indians","178/3","Rajasthan Royals","153/8","Mumbai Indians","25 runs"
"May 19, 2014","45th match","Feroz Shah Kotla, Delhi","night","Kings XI Punjab","field","Delhi Daredevils","164/7","Kings XI Punjab","165/6","Kings XI Punjab","4 wickets"
"May 20, 2014","46th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Royal Challengers Bangalore","bat","RCB","160/6","Sunrisers Hyderabad","161/3","Sunrisers Hyderabad","7 wickets"
"May 20, 2014","47th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Chennai Super Kings","154/4","Kolkata Knight Riders","156/2","Kolkata Knight Riders","8 wickets"
"May 21, 2014","48th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Mumbai Indians","field","Kings XI Punjab","156/8","Mumbai Indians","159/3","Mumbai Indians","7 wickets"
"May 22, 2014","49th match","Eden Gardens, Kolkata","day/night","Royal Challengers Bangalore","field","Kolkata Knight Riders","195/4","RCB","165/5","Kolkata Knight Riders","30 runs"
"May 22, 2014","50th match","JSCA International Stadium Complex, Ranchi","night","Sunrisers Hyderabad","field","Chennai Super Kings","185/3","Sunrisers Hyderabad","189/4","Sunrisers Hyderabad","6 wickets"
"May 23, 2014","51st match","Wankhede Stadium, Mumbai","day/night","Delhi Daredevils","field","Mumbai Indians","173","Delhi Daredevils","158/4","Mumbai Indians","15 runs"
"May 23, 2014","52nd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Rajasthan Royals","field","Kings XI Punjab","179/4","Rajasthan Royals","163/8","Kings XI Punjab","16 runs"
"May 24, 2014","53rd match","M Chinnaswamy Stadium, Bangalore","day/night","Chennai Super Kings","field","RCB","154/6","Chennai Super Kings","160/2","Chennai Super Kings","8 wickets"
"May 24, 2014","54th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Sunrisers Hyderabad","160/7","Kolkata Knight Riders","161/6","Kolkata Knight Riders","4 wickets"
"May 25, 2014","55th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Kings XI Punjab","field","Delhi Daredevils","115","Kings XI Punjab","119/3","Kings XI Punjab","7 wickets"
"May 25, 2014","56th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Rajasthan Royals","189/4","Mumbai Indians","195/5","Mumbai Indians","5 wickets"
"May 27-28, 2014","Qualifier 1","Eden Gardens, Kolkata","day/night","Kings XI Punjab","field","Kolkata Knight Riders","163/8","Kings XI Punjab","135/8","Kolkata Knight Riders","28 runs"
"May 28, 2014","Eliminator","Brabourne Stadium, Mumbai","night","Chennai Super Kings","field","Mumbai Indians","173/8","Chennai Super Kings","176/3","Chennai Super Kings","7 wickets"
"May 30, 2014","Qualifier 2","Wankhede Stadium, Mumbai","night","Chennai Super Kings","field","Kings XI Punjab","226/6","Chennai Super Kings","202/7","Kings XI Punjab","24 runs"
"Jun 1, 2014","Final","M Chinnaswamy Stadium, Bangalore","night","Kolkata Knight Riders","field","Kings XI Punjab","199/4","Kolkata Knight Riders","200/7","Kolkata Knight Riders","3 wickets"
"Apr 8, 2015","1st match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Mumbai Indians","168/3","Kolkata Knight Riders","170/3","Kolkata Knight Riders","7 wickets (with 9 balls remaining)"
"Apr 9, 2015","2nd match","MA Chidambaram Stadium, Chepauk, Chennai","night","Delhi Daredevils","field","Chennai Super Kings","150/7","Delhi Daredevils","149/9","Chennai Super Kings","1 run"
"Apr 10, 2015","3rd match","Maharashtra Cricket Association Stadium, Pune","night","Kings XI Punjab","field","Rajasthan Royals","162/7","Kings XI Punjab","136/8","Rajasthan Royals","26 runs"
"Apr 11, 2015","4th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Chennai Super Kings","bat","Chennai Super Kings","209/4","Sunrisers Hyderabad","164/6","Chennai Super Kings","45 runs"
"Apr 11, 2015","5th match","Eden Gardens, Kolkata","night","Royal Challengers Bangalore","field","Kolkata Knight Riders","177/6","RCB","179/7","Royal Challengers Bangalore","3 wickets (with 6 balls remaining)"
"Apr 12, 2015","6th match","Feroz Shah Kotla, Delhi","day/night","Rajasthan Royals","field","Delhi Daredevils","184/3","Rajasthan Royals","186/7","Rajasthan Royals","3 wickets (with 0 balls remaining)"
"Apr 12, 2015","7th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kings XI Punjab","177/5","Mumbai Indians","159/7","Kings XI Punjab","18 runs"
"Apr 13, 2015","8th match","M Chinnaswamy Stadium, Bangalore","night","Sunrisers Hyderabad","field","RCB","166","Sunrisers Hyderabad","172/2","Sunrisers Hyderabad","8 wickets (with 16 balls remaining)"
"Apr 14, 2015","9th match","Sardar Patel Stadium, Motera, Ahmedabad","night","Mumbai Indians","bat","Mumbai Indians","164/5","Rajasthan Royals","165/3","Rajasthan Royals","7 wickets (with 5 balls remaining)"
"Apr 15, 2015","10th match","Maharashtra Cricket Association Stadium, Pune","night","Kings XI Punjab","bat","Kings XI Punjab","165/7","Delhi Daredevils","169/5","Delhi Daredevils","5 wickets (with 1 ball remaining)"
"Apr 16, 2015","11th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","night","Rajasthan Royals","field","Sunrisers Hyderabad","127/5","Rajasthan Royals","131/4","Rajasthan Royals","6 wickets (with 0 balls remaining)"
"Apr 17, 2015","12th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","183/7","Chennai Super Kings","189/4","Chennai Super Kings","6 wickets (with 20 balls remaining)"
"Apr 18, 2015","13th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","day/night","Delhi Daredevils","bat","Delhi Daredevils","167/4","Sunrisers Hyderabad","163/8","Delhi Daredevils","4 runs"
"Apr 18, 2015","14th match","Maharashtra Cricket Association Stadium, Pune","night","Kolkata Knight Riders","field","Kings XI Punjab","155/9","Kolkata Knight Riders","159/6","Kolkata Knight Riders","4 wickets (with 13 balls remaining)"
"Apr 19, 2015","15th match","Sardar Patel Stadium, Motera, Ahmedabad","day/night","Chennai Super Kings","bat","Chennai Super Kings","156/4","Rajasthan Royals","157/2","Rajasthan Royals","8 wickets (with 10 balls remaining)"
"Apr 19, 2015","16th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Mumbai Indians","209/7","RCB","191/7","Mumbai Indians","18 runs"
"Apr 20, 2015","17th match","Feroz Shah Kotla, Delhi","night","Kolkata Knight Riders","field","Delhi Daredevils","146/8","Kolkata Knight Riders","147/4","Kolkata Knight Riders","6 wickets (with 11 balls remaining)"
"Apr 21, 2015","18th match","Sardar Patel Stadium, Motera, Ahmedabad","night","Kings XI Punjab","field","Rajasthan Royals","191/6","Kings XI Punjab","191/6","Match tied (Kings XI Punjab",""
"Apr 22, 2015","19th match","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","day/night","Kolkata Knight Riders","field","Sunrisers Hyderabad","176/4","Kolkata Knight Riders","101/4","Sunrisers Hyderabad","16 runs (D/L method)"
"Apr 22, 2015","20th match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Chennai Super Kings","181/8","RCB","154/8","Chennai Super Kings","27 runs"
"Apr 23, 2015","21st match","Feroz Shah Kotla, Delhi","night","Mumbai Indians","field","Delhi Daredevils","190/4","Mumbai Indians","153/9","Delhi Daredevils","37 runs"
"Apr 24, 2015","22nd match","Sardar Patel Stadium, Motera, Ahmedabad","night","Royal Challengers Bangalore","field","Rajasthan Royals","130/9","RCB","134/1","Royal Challengers Bangalore","9 wickets (with 23 balls remaining)"
"Apr 25, 2015","23rd match","Wankhede Stadium, Mumbai","day/night","Mumbai Indians","bat","Mumbai Indians","157/8","Sunrisers Hyderabad","137/8","Mumbai Indians","20 runs"
"Apr 25, 2015","24th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","192/3","Kings XI Punjab","95/9","Chennai Super Kings","97 runs"
"Apr 26, 2015","25th match","Eden Gardens, Kolkata","day/night","","","Kolkata Knight Riders","","Rajasthan Royals","","Match abandoned without a ball bowled",""
"Apr 26, 2015","26th match","Feroz Shah Kotla, Delhi","night","Royal Challengers Bangalore","field","Delhi Daredevils","95","RCB","99/0","Royal Challengers Bangalore","10 wickets (with 57 balls remaining)"
"Apr 27, 2015","27th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","field","Sunrisers Hyderabad","150/6","Kings XI Punjab","130/9","Sunrisers Hyderabad","20 runs"
"Apr 28, 2015","28th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Kolkata Knight Riders","field","Chennai Super Kings","134/6","Kolkata Knight Riders","132/9","Chennai Super Kings","2 runs"
"Apr 29, 2015","29th match","M Chinnaswamy Stadium, Bangalore","night","","","RCB","200/7","Rajasthan Royals","","No result",""
"Apr 30, 2015","30th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","field","Chennai Super Kings","165/9","Kolkata Knight Riders","169/3","Kolkata Knight Riders","7 wickets (with 1 ball remaining)"
"May 1, 2015","31st match","Feroz Shah Kotla, Delhi","day/night","Delhi Daredevils","field","Kings XI Punjab","118/8","Delhi Daredevils","119/1","Delhi Daredevils","9 wickets (with 37 balls remaining)"
"May 1, 2015","32nd match","Wankhede Stadium, Mumbai","night","Rajasthan Royals","field","Mumbai Indians","187/5","Rajasthan Royals","179/7","Mumbai Indians","8 runs"
"May 2, 2015","33rd match","M Chinnaswamy Stadium, Bangalore","day/night","Royal Challengers Bangalore","field","Kolkata Knight Riders","111/4","RCB","115/3","Royal Challengers Bangalore","7 wickets (with 2 balls remaining)"
"May 2, 2015","34th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Chennai Super Kings","field","Sunrisers Hyderabad","192/7","Chennai Super Kings","170/6","Sunrisers Hyderabad","22 runs"
"May 3, 2015","35th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Mumbai Indians","bat","Mumbai Indians","172/3","Kings XI Punjab","149/7","Mumbai Indians","23 runs"
"May 3, 2015","36th match","Brabourne Stadium, Mumbai","night","Delhi Daredevils","field","Rajasthan Royals","189/2","Delhi Daredevils","175/7","Rajasthan Royals","14 runs"
"May 4, 2015","37th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Chennai Super Kings","bat","Chennai Super Kings","148/9","RCB","124","Chennai Super Kings","24 runs"
"May 4, 2015","38th match","Eden Gardens, Kolkata","night","Sunrisers Hyderabad","field","Kolkata Knight Riders","167/7","Sunrisers Hyderabad","132/9","Kolkata Knight Riders","35 runs"
"May 5, 2015","39th match","Wankhede Stadium, Mumbai","night","Delhi Daredevils","bat","Delhi Daredevils","152/6","Mumbai Indians","153/5","Mumbai Indians","5 wickets (with 3 balls remaining)"
"May 6, 2015","40th match","M Chinnaswamy Stadium, Bangalore","night","Kings XI Punjab","field","RCB","226/3","Kings XI Punjab","88","Royal Challengers Bangalore","138 runs"
"May 7, 2015","41st match","Brabourne Stadium, Mumbai","day/night","Rajasthan Royals","field","Sunrisers Hyderabad","201/4","Rajasthan Royals","194/7","Sunrisers Hyderabad","7 runs"
"May 7, 2015","42nd match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","171/7","Delhi Daredevils","158/6","Kolkata Knight Riders","13 runs"
"May 8, 2015","43rd match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","158/5","Mumbai Indians","159/4","Mumbai Indians","6 wickets (with 4 balls remaining)"
"May 9, 2015","44th match","Eden Gardens, Kolkata","day/night","Kings XI Punjab","bat","Kings XI Punjab","183/5","Kolkata Knight Riders","184/9","Kolkata Knight Riders","1 wicket (with 1 ball remaining)"
"May 9, 2015","45th match","Shaheed Veer Narayan Singh International Stadium, Raipur","night","Sunrisers Hyderabad","bat","Sunrisers Hyderabad","163/4","Delhi Daredevils","157/4","Sunrisers Hyderabad","6 runs"
"May 10, 2015","46th match","Wankhede Stadium, Mumbai","day/night","Royal Challengers Bangalore","bat","RCB","235/1","Mumbai Indians","196/7","Royal Challengers Bangalore","39 runs"
